AQD CODE,DESCRIPTION,CODE,TITLE,OFFICER AWARDING CRITERIA,NOTE,DESIGNATOR_1,DESIGNATOR_2,DESIGNATOR_3,DESIGNATOR_4,GRADES,LENGTH OF VALIDITY,MANPOWER TYPE,BILLET DETAILING PREREQUISITES,DESIGNATOR_1,DESIGNATOR_2,,GRADES,MANPOWER TYPE,PRIMARY CONSULTANTS_1,PRIMARY CONSULTANTS_2,PRIMARY CONSULTANTS_3,AUXILIARY CONSULTANTS_1,AUXILIARY CONSULTANTS_2,AUXILIARY CONSULTANTS_3,AUXILIARY CONSULTANTS_4,AUXILIARY CONSULTANTS_5,AUXILIARY CONSULTANTS_6,,
ENGINEERING DUTY,"AQD Codes in the 800 series are used to modify 144X and 146X officer designators when the officer qualifications pertain to an engineering duty specialty.

These AQD codes are assigned to officers by PERS-4.
",8,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,800,Registered Professional Engineer (PROENG),"Qualified by reason of special knowledge of the mathematical and physical sciences and the principles and methods of engineering analysis and design acquired by professional education and practical experience.

This qualification is attested by legal registration as a Professional Engineer in any of the fifty states, the District of Columbia, Puerto Rico, Guam, and the Panama Canal Zone.
",,144X,146X,,,O2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,NAVSEA 00T,,,BUPERS - 311,BUPERS -315,PERS - 445,,,,,
801,,801,SWO-EDO TCT Program Candidate,Designated as a SWO-EDO TCT program candidate upon selection.,,1110,,,,O1  TO O6,Indefinite,Active,N/A,,,,,,NAVSEA 00T,,,BUPERS - 311,BUPERS -315,PERS - 445,,,,,
SUPPLY CORPS,AQD codes in the 900-949 series are entered by detailing officer on the records of Supply Corps officers to reflect proficiency acquired through performance in specific functional areas. These AQD codes are assigned to officers by PERS-4; and assigned to billets by N12.,900-949,,,,,,,,,,,,,,,,,,,,,,,,,,,
9X1,,9X1,"Director, Logistics Readiness Center, Maritime Operations Center
(SC LRCMOC DIR)
","(a) Served 18 months in an approved Director, Maritime Operations Center, Logistics Readiness Center billet IAW OPNAV M-3500.42; 
AND
(b) Demonstrated proficiency in Logistics Readiness Center management and in meeting mission essential tasks as identified by OPNAV M-3500.42.
",,310X,651X,,,O3 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,CPF N4,USFF,OPNAV N4L,,,
903,,903,"Auditing
(SC AUDIT)
","Completed an auditing assignment in the Naval Audit Service, on an Inspector General's staff or in internal auditing of a large command.",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
910,,910,"Food Service Operations 
(SC FOODSRVOPS)
","(a) Completed an assignment involving subsistence policy at NFSSO, DPSC, Food Management Teams or multiple food service assignments.
OR
(b) Served as Food Service Officer of a large ship or major station.
",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
918,,918,"Supply Corps Officer Contingency Operations Assignment 
(SC JNTTADTOPS)
",Completed 120 days or more of a TAD/TDY overseas assignment in support of contingency operations not to include routine operational tour deployment cycles.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
919,,919,"Supply Corps Officer Contingency Operations Assignment Level 2 
(SC 2JNTTADTOPS)
","Completed two 6 months (120 consecutive days each) or one 12 months (240 consecutive days) OCONUS TAD/TDY contingency operation assignment(s), or equivalent assignment as defined by community precedence or standard.",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
920,,920,"Transportation Management
(SC TRNMGT)
","Officer has had broad general experience in the transportation area through a series of tours in various segments of the area; or served in a transportation internship program or policy billet at USTRANSCOM, AMC, ARTRANS, MTMC, NAVSUP, or a major staff.",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
928,,928,"Completed First Operational Tour
(COMP1 OPTOUR)
","Successfully served for a minimum of 24 months in a Supply Corps designated first operational tour as identified by the cognizant type commander (typically billets sea/shore code ""2"" or ""4"").","Credit for 18 months for officers who have earned their warfare device, if available, may approved by Director, Supply Corps Personnel, in exceptional circumstances; however, this is not intended to allow for the award of both 928 and 929 for split tour assignments that lack increasing responsibility or complexity.",310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
929,,929,"Completed Second Operational Tour
(COMP2 OPTOUR)
","(a) Been previously awarded AQD 928.
AND
(b) Successfully served for a minimum of 24 months in a Supply Corps designated second operational tour as identified by the cognizant type commander.
","Credit for 18 months for officers who have earned their warfare device, if available, may approved by Director, Supply Corps Personnel, in exceptional circumstances; however, this is not intended to allow for the award of both 928 and 929 for split tour assignments that lack increasing responsibility or complexity.",310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
92A,,92A,"Assignment Second Operational Tour
(ASGN2 OPTOUR)
",Been assigned in a Supply Corps designated second operational tour as identified by the cognizant type commander (typically billets sea/shore code “2” or “4” non-conventional / expeditionary support tour.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,,,,,,
92B,,92B,Completed Lieutenant Commander Operational Tour (LCDR OPTOUR),"(a) Been previously awarded AQD 929 
AND 
(b) Successfully served for a minimum 24 months in a Supply Corps designated Lieutenant Commander operational tour as identified by the cognizant type commander (typically billets sea/shore code (2) or (4)).",Credit for 18 months may be awarded on a case-by-case basis.,310X,,,,O4 TO O6,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
92E,,92E,"ERP Certificate with SAP Program
(ERP W SAP CERT)
","(a) Successfully completed Enterprise Resource Planning (ERP) Certificate with Systems, Applications, and Products (SAP) through Pennsylvania State University (Penn State).
OR
(b) Equivalent ERP certificate through an accredited university. 
or 
(c) A SAP Global Certificate that aligns with Navy ERP (e.g. TERP-10).
",,310X,651X,,,ANY,Indefinite,Active and Reserve ,N/A,,,,,,PERS-4412,,,NAVSUP BSC,OPNAV N4L,,,,,,
935,,935,"Commander Supply Corps Officer Milestone Completed
(SC CDRMLSTNCMP)
",Successfully completed a Commander Supply Officer Milestone Tour.,,310X,,,,O5 TO O6,Indefinite,Active ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
937,,937,"Commander Supply Corps Officer Milestone Select
(SC CDRMLSTNSEL)
",Been selected for assignment to a Commander Supply Officer Milestone Tour.,,10X,,,,O5 TO O6,Indefinite,Active ,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
939,,939,"Ordnance Logistics Ammo 
(SC ORDLOG)
","(a) Served at least 24 months in an ordnance logistics assignment.
OR
(b) Demonstrated proficiency in Expandable Ordnance Management applications by successfully completing the 1302P master’s degree program and completing training requirements approved by NAVSUP Ammunition Logistics Center (NALC).
",,310X,651X,,,O1 TO O6,Indefinite,Active and Reserve,Billets coded with 939 require an officer who has previously been awarded the 939 code prior to reporting to ultimate duty assignment.,3100,6510,,O1 TO O6,Active and Reserve,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,NALC,,,,
93A,,93A,"Shore Command Complete
(SC CMD COMP)
","(a) Selected at the Supply Corps Commander Milestone Screening Board.
AND
(b) Completed a minimum of 18 months in an approved Supply Corps Shore Command billet.
Effective July 2012 - Present
",,310X,,,,O5 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
93B,,93B,"Major Shore Command Complete
(SC MAJCMD COMP)
","(a) Selected at the Supply Corps Major Command Ashore Screening Board.
AND
(b) Completed a minimum of 18 months in an approved Supply Corps Major Shore Command billet.
Effective July 2012 - Present
",,310X,,,,O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
93E,,93E,"Navy Expeditionary Supply Corps Officer Warfare Qualification
(NESCO)
",Successfully complied with eligibility requirements and qualified as a Navy Expeditionary Supply Corps Officer IAW OPNAVINST 1412.15.,,310X,651X,751X,,W2 TO 9,Indefinite,Active and Reserve,N/A,,,,,,PERS-4,,,BUPERS - 311,BUPERS -315,,,,,,
940,,940,"Ship Outfitting
(SC SHIPOUT)
","(a) Served as Supply Officer of a new construction or major conversion ship.
OR
(b) Been assigned to a Fleet Support Team (FST) or outfitting activity (Shipyard) supporting a new construction or major conversion ship.
",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
943,,943,"Joint, Interagency, International, or Multinational Operations
(SC JIIMOPS)
","(a) Been assigned to any Joint Activity as a regular tour of duty (not to include IA tours or Financial Management tours granting ""N"" series AQDs).
OR
(b) Has served in an international logistics, international sales, or international support policy billet.
",,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
945,,945,"Naval Reactors Experience
(SC NR EXP)
",Been assigned to a Naval Reactors support tour.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,NAVSEA (08B-LL),OPNAV N4L,,,,
949,,949,Supply Corps School Instructor (SC INSTRUCTOR),Completed instructor duty tour at the Navy Supply Corps School and has been designated Master Training Specialist.,,310X,651X,751X,752X,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-4412,,,BUPERS - 311,BUPERS -315,OPNAV N4L,,,,,
9L1,,9L1,"OLW Officer, 1 Tour (OLWOFF1)","Completed at least 18 consecutive months performing joint core logistics functions as described in the Joint Publication 4.0 on an Operational Level of War (OLW) staff.  OLW is defined as campaign and major operation planning, execution, and sustainment to accomplish strategic objectives within a theater or other operational area.  This includes Joint Staff, non-OLW personnel ADDU to OLW HQ, JFC/CTF/JTF that have OPCON.  This does not include commands that solely exercise TACON (e.g. CTG) or Administrative Control (ADCON).","1) Officers must apply for AQD 9L1 in writing. Award will be based solely upon performance of duties documented in the members Fitness Reports.  Tour lengths of less than 18 months may be considered on a case-by-case basis (e.g. tour length in an otherwise qualifying billet is only 1 year).

2) SELRES officers become eligible after serving either 9 consecutive months of mobilization, deployment, or recall on an OLW staff or completing at least 24 consecutive months performing joint core logistics functions, as described in Joint Publication 4.0, in support of an OLW staff.

",310X,651X,,,O2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,BUPERS - 311,BUPERS -315,,PERS-4412,NAVSUP N3N4,CPF N4B,USFF N413,,,,
9L2,,9L2,"OLW Officer, 2 or more Tours (OLWOFF2)","(1) Been previously awarded AQD 9L1.
AND
(2) Completed a second assignment of at least 18 consecutive months performing the same job functions as described in AQD 9L1.
","1) Officers must apply for AQD 9L2 in writing. Award will be based solely upon performance of duties documented in the members Fitness Reports.  Tour lengths of less than 18 months may be considered on a case-by-case basis (e.g. tour length in an otherwise qualifying billet is only 1 year).

2) SELRES officers become eligible after a subsequent assignment of 9 consecutive months of mobilization, deployment, or recall, fulfilling the duties on an OLW staff, or after completing a second assignment of at least 24 consecutive months performing the same job functions in support of an OLW staff as described in AQD 9L1.
",310X,651X,,,O4 TO O6,Indefinite,Active and Reserve,N/A,,,,,,BUPERS - 311,BUPERS -315,,PERS-4412,NAVSUP N3N4,CPF N4B,USFF N413,,,,
9L3,,9L3,Operational Contract Support,"(a) Completed an Operational Contract Support (OCS) course (e.g. Joint OCS Planning and Execution course (JOPEC), JOPEC Lite, Defense Acquisition University (DAU) CON 0800 or CON 0820)
OR
(b) Served 12 months in an OCS or OCS-related billet
AND
(c) Demonstrated proficiency in OCS.
",,310X,510X,,,O3 TO O6,Indefinite,Active and Reserve,N/A,,,,,,OPNAV N4,,,USFF ,CPF ,OPNAV N4L,NAVSUP N3N4,NAVFAC,BUPERS - 311,BUPERS -315,PERS-4
CIVIL ENGINEER CORPS,AQD codes in the 950-999 series pertain to civil engineering specialty.  These AQD codes are assigned to officers by PERS-4 and assigned to billets by N12.,950-999,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,,950,"Engineer in Training
(CEC EIT)
","Legal registration certified as Engineer-in-Training or Engineer Intern by the registration/licensing board in any of the US states, districts, or territories.",,510X,653X,753X,,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,OPNAV N4,,,BUPERS - 311,BUPERS -315,,,,,,
951,,951,"Registered Professional Engineer 
(CEC PE)
","Special knowledge of the mathematical and physical sciences and the principles and methods of engineering analysis and design acquired by professional education and practical experience.  

This qualification is attested by legal registration as a professional engineer in any of the fifty states, the District of Columbia, Puerto Rico, Guam, and the Panama Canal Zone.  The Officer is qualified to assume duties of facilities engineering billets within the Naval Shore Establishment.
",,510X,653X,753X,,W2 TO O6,Indefinite,Active and Reserve,Billets coded with 951 require an officer who has previously been awarded the 951 or 952 code prior to reporting to ultimate duty assignment.,5100,,,O1 TO O6,,OPNAV N4,,,BUPERS - 311,BUPERS -315,,,,,,
952,,952,"Registered Architect 
(CEC RA)
","Officer is qualified by reason of special knowledge of architecture acquired by professional education and practical experience.

This qualification is attested by registered architect as a professional engineer in any of the fifty states, the District of Columbia, Puerto Rico, Guam, and the Panama Canal Zone.  The Officer is qualified to assume duties of facilities engineering billets within the Naval Shore Establishment.
",,510X,653X,753X,,W2 TO O6,Indefinite,Active and Reserve,N/A,,,,,,OPNAV N4,,,BUPERS - 311,BUPERS -315,,,,,,
953,,953,Architect ARE,Officer is qualified upon completion of one ARE.,,510X,653X,,,O1 TO O6,Indefinite,Active and Reserve,"Billet codes with 953 require an officer who has previously been awarded the 953 code prior to reporting to ultimate duty assignment, or will attain the 953 code within 24 months of reporting to ultimate duty assignment.",5100,6530,,O1 TO O6,,PERS-44,BUPERS - 311,BUPERS -315,NAVFAC TF,OPNAV N46,,,,,,
954,,954,Architect AXP,Officer is qualified upon completing the National Council of Architectural Registration Board’s (NCARB) Architecture Experience Program (AXP).,,510X,653X,,,O1 TO O6,Indefinite,Active and Reserve,"Billet codes with 954 require an officer who has previously been awarded the 954 code prior to reporting to ultimate duty assignment, or will attain the 954 code within 24 months of reporting to ultimate duty assignment.",5100,6530,,O1 TO O6,,PERS-44,BUPERS - 311,BUPERS -315,NAVFAC TF,OPNAV N46,,,,,,
960,,960,"Seabee Combat  
Warfare (SCW)
",Officer who has achieved SCW designation through completing the formal program prescribed by NAVFACINST 1410.,AQD will not be automatically awarded upon completion of a tour in a coded billet.,ALL,,,,W2 TO O6,Indefinite,Active and Reserve,Billets coded with 960 require an officer who has previously been awarded the 960 code prior to reporting to ultimate duty assignment.,5100,6530,7530,W2 TO O6,Active and Reserve,OPNAV N959,,,BUPERS - 311,BUPERS -315,NAVFAC TF,,,,,
965,,965,LCDR Command,Successfully completed at least 18 months as Commanding Officer at one of the following commands: Under Water Construction Team (UCT) and Construction Battalion Maintenance Unit (CBMU).,,510X,653X,,,O4 TO O5,Indefinite,Active and Reserve,N/A,,,,,,PERS-44,,,BUPERS - 311,BUPERS -315,,,,,,
966,,966,CDR Expeditionary Command,Successfully completed at least 18 months as Commanding Officer at a Naval Mobile Construction Battalion.,,510X,653X,,,O5 TO O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-44,,,BUPERS - 311,BUPERS -315,,,,,,
967,,967,Expeditionary Major Command,Successfully completed at least 18 months in an Expeditionary Major Command Assignment: Naval Construction Group (NCG) and Naval Construction Regiment (NCR).,,510X,653X,,,O6,Indefinite,Active and Reserve,N/A,,,,,,PERS-44,,,BUPERS - 311,BUPERS -315,,,,,,
9P1,,9P1,Public Works Level 1 Career Field Certified,"Completed Public Works Level I Core Certification Standards through a combination of formal courses, process-driven training, experience, professional licensure, and acquisition competency as required by NAVEDTRA 43820 and NAVFACINST 11300.1 (series).",,510X,653X,,,O1 TO O6,Indefinite,Active and Reserve,"Billets coded with 9P1 require an officer who has previously been awarded the 9P1, 9P2, or 9P3 code prior to reporting to ultimate duty assignment.",5100,,,O2 TO O6,Active and Reserve,PERS-44,BUPERS - 311,BUPERS -315,NAVFAC TF,OPNAV N46,,,,,,
9P2,,9P2,Public Works Level 2 Career Field Certified,Officer who has achieved Public Works Level 2 certification through completing the formal program prescribed by NAVFACINST 11300.1 (series).,Supersedes 9P1 Qualification,510X,653X,,,O2 TO O6,Indefinite,Active and Reserve,Billets coded with 9P2 require an officer who has previously been awarded the 9P2 or 9P3 code or a waiver to the Unit of Action qualification requirements as prescribed by the CEC Career Planning Guide (P-1062) prior to reporting to ultimate duty assignment.,5100,,,O3 TO O6,Active and Reserve,PERS-44,BUPERS - 311,BUPERS -315,NAVFAC TF,OPNAV N46,,,,,,
9P3,,9P3,Public Works Level 3 Career Field Certified,OOfficer who has achieved Public Works Level 3 certification through completing the formal program prescribed by NAVFACINST 11300.1 (series).,Supersedes 9P2 Qualification,510X,653X,,,O3 TO O6,Indefinite,Active and Reserve,Billets coded with 9P3 require an officer who has previously been awarded the 9P3 code or a waiver to the Unit of Action qualification requirements as prescribed by the CEC Career Planning Guide (P-1062) prior to reporting to ultimate duty assignment.,5100,,,O4 TO O6,Active and Reserve,PERS-44,BUPERS - 311,BUPERS -315,NAVFAC TF,OPNAV N46,,,,,,